date,day_of_week,meal_type,number_of_plates_served,number_of_plates_returned_with_food,special_event,food_wasted
2023-03-16,Sunday,Lunch,181,36,None,11.932925883442467
2023-03-17,Wednesday,Breakfast,470,4,None,1.1017846707033447
2023-03-18,Saturday,Breakfast,355,82,None,31.988451261616483
2023-03-19,Monday,Breakfast,296,77,None,22.689403395880852
2023-03-20,Thursday,Dinner,402,25,None,11.234232380816605
2023-03-21,Tuesday,Lunch,109,61,None,28.077125481874706
2023-03-22,Thursday,Dinner,411,3,None,0.8060651122481466
2023-03-23,Tuesday,Breakfast,385,88,None,18.544338462673814
2023-03-24,Saturday,Lunch,341,41,None,13.814545388931142
2023-03-25,Saturday,Dinner,350,88,None,40.915189765707524
2023-03-26,Saturday,Lunch,464,17,Holiday,3.132502885238533
2023-03-27,Tuesday,Dinner,104,39,None,13.618278703590333
2023-03-28,Thursday,Lunch,218,71,Festival,25.03631025062759
2023-03-29,Saturday,Breakfast,388,38,None,14.94331794071227
2023-03-30,Friday,Breakfast,473,13,None,1.984151962661751
2023-03-31,Sunday,Lunch,164,31,None,11.976229562057897
2023-04-01,Tuesday,Dinner,245,50,None,23.18065041331282
2023-04-02,Tuesday,Breakfast,323,37,None,6.3593100112795815
2023-04-03,Thursday,Breakfast,338,96,None,18.721663677076904
2023-04-04,Tuesday,Breakfast,276,22,None,10.748276827566428
2023-04-05,Tuesday,Lunch,366,62,None,10.688228427195346
2023-04-06,Saturday,Lunch,440,14,None,6.184556522869643
2023-04-07,Thursday,Dinner,381,96,None,28.503469687604536
2023-04-08,Saturday,Dinner,162,24,None,4.7734183142705
2023-04-09,Sunday,Dinner,316,16,None,7.172799368144073
2023-04-10,Sunday,Lunch,441,96,Festival,26.69972179210236
2023-04-11,Saturday,Lunch,414,65,Holiday,19.885251202171943
2023-04-12,Sunday,Dinner,382,77,None,18.764387777512784
2023-04-13,Thursday,Dinner,276,52,None,17.53337770984649
2023-04-14,Monday,Lunch,197,50,Holiday,8.270477451700456
2023-04-15,Saturday,Dinner,204,38,None,9.744439357106764
2023-04-16,Friday,Breakfast,198,50,None,24.388246446705754
2023-04-17,Friday,Lunch,484,69,Holiday,14.02448274255112
2023-04-18,Tuesday,Dinner,410,5,None,1.8134733290825844
2023-04-19,Sunday,Lunch,105,66,None,15.185017695531945
2023-04-20,Friday,Breakfast,296,6,None,2.4563355016478416
2023-04-21,Tuesday,Lunch,450,50,Holiday,7.617473214366997
2023-04-22,Monday,Lunch,232,71,Festival,34.642917680230674
2023-04-23,Thursday,Lunch,457,41,Holiday,11.542148478691683
2023-04-24,Thursday,Lunch,358,63,None,12.248471676330892
2023-04-25,Thursday,Breakfast,122,14,None,1.8115817850480709
2023-04-26,Friday,Lunch,152,28,None,4.7012885369804565
2023-04-27,Monday,Lunch,264,32,None,9.853106541517025
2023-04-28,Friday,Dinner,301,93,None,21.836518163243852
2023-04-29,Sunday,Lunch,182,26,None,11.220387005179138
2023-04-30,Friday,Dinner,244,35,None,9.532425331265282
2023-05-01,Monday,Breakfast,184,28,None,5.5855998529814554
2023-05-02,Monday,Breakfast,177,37,None,12.833745801739646
2023-05-03,Sunday,Breakfast,465,56,None,21.431809658233984
2023-05-04,Monday,Breakfast,100,96,None,16.014409263396477
2023-05-05,Monday,Dinner,150,26,None,4.343239849398504
2023-05-06,Thursday,Lunch,272,54,None,6.192102821764529
2023-05-07,Sunday,Breakfast,304,32,None,12.625945792840199
2023-05-08,Wednesday,Lunch,359,67,None,24.48996134026438
2023-05-09,Wednesday,Dinner,468,85,None,24.637449775493675
2023-05-10,Monday,Dinner,387,65,None,28.448431673199128
2023-05-11,Wednesday,Dinner,133,9,None,3.8004125506201913
2023-05-12,Wednesday,Breakfast,447,4,None,1.3365669830348035
2023-05-13,Monday,Lunch,194,73,None,32.65352139098715
2023-05-14,Wednesday,Lunch,171,96,None,17.504302465411904
2023-05-15,Friday,Lunch,138,37,None,5.356410367086373
2023-05-16,Tuesday,Dinner,253,12,None,2.4947981352815503
2023-05-17,Sunday,Breakfast,349,30,None,3.6850422730717787
2023-05-18,Tuesday,Dinner,261,46,None,14.373519315218989
2023-05-19,Monday,Dinner,217,99,None,46.98958541488048
2023-05-20,Thursday,Lunch,358,87,None,10.069155215264136
2023-05-21,Sunday,Dinner,478,51,Holiday,7.591042245804547
2023-05-22,Monday,Lunch,405,55,None,15.448378622235577
2023-05-23,Thursday,Breakfast,367,14,Festival,6.629700098156269
2023-05-24,Tuesday,Lunch,153,28,None,6.340948375739606
2023-05-25,Monday,Breakfast,335,7,None,2.1202574643274987
2023-05-26,Sunday,Lunch,488,4,None,0.4665165744806274
2023-05-27,Sunday,Dinner,321,28,None,4.461443850775395
2023-05-28,Saturday,Dinner,350,46,None,22.753994262442784
2023-05-29,Friday,Breakfast,412,67,None,32.56518106448602
2023-05-30,Wednesday,Breakfast,211,75,Festival,7.648199428032289
2023-05-31,Thursday,Breakfast,354,44,None,21.151887423449008
2023-06-01,Saturday,Lunch,402,1,None,0.35564797512620017
2023-06-02,Wednesday,Lunch,306,26,None,11.62635026300823
2023-06-03,Wednesday,Breakfast,328,94,None,26.498218571833103
2023-06-04,Monday,Dinner,440,35,None,10.718344400109503
2023-06-05,Wednesday,Lunch,497,35,None,10.343852123596884
2023-06-06,Friday,Lunch,165,25,None,9.168642575461044
2023-06-07,Sunday,Lunch,174,42,None,6.546141079906057
2023-06-08,Saturday,Breakfast,202,26,None,2.9117253346758507
2023-06-09,Wednesday,Breakfast,291,68,None,15.175694411280393
2023-06-10,Monday,Breakfast,351,19,None,7.255573796798516
2023-06-11,Friday,Breakfast,325,10,None,1.8074138084917934
2023-06-12,Tuesday,Breakfast,393,73,Festival,26.96422705308759
2023-06-13,Sunday,Dinner,405,37,None,18.0546982823876
2023-06-14,Sunday,Dinner,197,5,None,0.6878014315788368
2023-06-15,Saturday,Breakfast,437,71,None,26.201900157593585
2023-06-16,Sunday,Lunch,385,22,None,6.105001929880226
2023-06-17,Wednesday,Breakfast,434,46,Holiday,20.5738174805461
2023-06-18,Monday,Dinner,446,89,None,15.206532504326939
2023-06-19,Sunday,Dinner,407,45,None,16.967267140070962
2023-06-20,Sunday,Lunch,348,11,None,4.7877072744516855
2023-06-21,Tuesday,Dinner,265,89,None,42.52826621327523
2023-06-22,Tuesday,Breakfast,434,12,Holiday,4.479590535790299
2023-06-23,Thursday,Lunch,129,61,None,18.231064241805626
2023-06-24,Friday,Breakfast,346,81,None,28.11825058251933
2023-06-25,Wednesday,Breakfast,205,88,None,39.385455453650884
2023-06-26,Sunday,Lunch,150,96,Festival,31.511414270931063
2023-06-27,Sunday,Breakfast,180,59,None,6.61713460884535
2023-06-28,Monday,Dinner,232,42,Holiday,19.83993808451723
2023-06-29,Thursday,Breakfast,384,75,None,28.185802530946834
2023-06-30,Friday,Lunch,487,99,None,36.68993007677896
2023-07-01,Thursday,Lunch,237,67,None,12.480094084258821
2023-07-02,Saturday,Lunch,283,4,None,1.4542167523722518
2023-07-03,Friday,Breakfast,429,36,None,9.271647441419882
2023-07-04,Sunday,Lunch,372,71,None,25.595016547978375
2023-07-05,Sunday,Lunch,439,91,None,12.979986303210863
2023-07-06,Friday,Breakfast,168,30,None,10.894143655236432
2023-07-07,Sunday,Dinner,133,8,None,3.9981239224661334
2023-07-08,Wednesday,Breakfast,361,50,None,5.964240777211121
2023-07-09,Friday,Lunch,152,28,Festival,13.744350863278754
2023-07-10,Thursday,Lunch,304,77,None,20.232765190264416
2023-07-11,Friday,Breakfast,225,39,Holiday,17.483753825261246
2023-07-12,Sunday,Dinner,334,40,Festival,16.518167744932377
2023-07-13,Wednesday,Lunch,142,85,None,27.778552873546705
2023-07-14,Wednesday,Lunch,339,10,None,3.9537968370053065
2023-07-15,Saturday,Lunch,470,22,None,9.930936939451861
2023-07-16,Thursday,Breakfast,210,0,None,0.0
2023-07-17,Tuesday,Lunch,348,45,None,10.386596908138298
2023-07-18,Tuesday,Dinner,250,20,None,7.340747084508679
2023-07-19,Friday,Lunch,282,89,None,37.65931553310881
2023-07-20,Saturday,Lunch,435,35,None,14.17199188687262
2023-07-21,Monday,Dinner,194,53,None,22.213649355803053
2023-07-22,Friday,Lunch,473,86,None,23.584066029564898
2023-07-23,Saturday,Breakfast,499,56,None,23.919486442320487
2023-07-24,Thursday,Breakfast,107,0,None,0.0
2023-07-25,Thursday,Breakfast,487,62,None,19.70332962942907
2023-07-26,Thursday,Dinner,459,53,None,5.4220836025601775
2023-07-27,Thursday,Lunch,487,54,None,12.41105392584584
2023-07-28,Thursday,Breakfast,283,39,None,9.616799943993808
2023-07-29,Saturday,Dinner,380,14,Festival,3.6185670730118304
2023-07-30,Saturday,Lunch,294,20,None,7.563737653518898
2023-07-31,Wednesday,Dinner,451,46,None,11.749469063374361
2023-08-01,Tuesday,Breakfast,294,72,None,20.122376331528883
2023-08-02,Sunday,Breakfast,254,52,None,10.140917922186013
2023-08-03,Thursday,Breakfast,192,8,None,1.9944057332138883
2023-08-04,Monday,Dinner,259,73,None,13.936273116084024
2023-08-05,Sunday,Dinner,160,51,None,6.5931968448762515
2023-08-06,Saturday,Breakfast,221,56,None,19.117248491742863
2023-08-07,Monday,Dinner,150,25,None,9.182127985550162
2023-08-08,Monday,Breakfast,376,40,None,13.911845536153834
2023-08-09,Monday,Breakfast,104,34,None,9.703518995687785
2023-08-10,Wednesday,Lunch,191,62,None,15.618687348444897
2023-08-11,Saturday,Dinner,269,24,None,10.688003035889523
2023-08-12,Monday,Breakfast,416,89,None,27.379311550849362
2023-08-13,Thursday,Breakfast,121,74,None,21.583783577840038
2023-08-14,Friday,Dinner,425,37,None,4.079502573935248
2023-08-15,Monday,Lunch,100,1,None,0.23649913105046255
2023-08-16,Wednesday,Lunch,232,6,None,1.512469485086057
2023-08-17,Sunday,Breakfast,332,81,None,21.021858101059575
2023-08-18,Saturday,Dinner,111,90,None,29.886205292183963
2023-08-19,Wednesday,Lunch,445,33,None,10.343553616794795
2023-08-20,Monday,Dinner,145,90,None,30.884583340564006
2023-08-21,Saturday,Dinner,133,16,None,6.495252873869621
2023-08-22,Friday,Breakfast,177,42,None,17.858160410430372
2023-08-23,Monday,Lunch,317,58,None,22.46045536845467
2023-08-24,Wednesday,Breakfast,400,50,None,24.110473919098695
2023-08-25,Tuesday,Lunch,172,53,None,5.686530752738867
2023-08-26,Thursday,Lunch,381,23,None,4.1011574682886245
2023-08-27,Sunday,Lunch,348,24,None,2.4726035997901645
2023-08-28,Wednesday,Lunch,146,70,None,25.129291996328885
2023-08-29,Saturday,Lunch,220,51,None,23.419823198579735
2023-08-30,Monday,Dinner,313,69,None,13.620111385505862
2023-08-31,Thursday,Breakfast,338,87,None,40.96080215891148
2023-09-01,Monday,Dinner,155,32,None,3.971422595706379
2023-09-02,Saturday,Lunch,449,48,None,22.741171714665875
2023-09-03,Monday,Breakfast,206,28,None,6.738174097083905
2023-09-04,Tuesday,Lunch,418,62,None,8.71523654554057
2023-09-05,Thursday,Breakfast,147,21,None,6.181322777165136
2023-09-06,Thursday,Dinner,160,25,None,5.06776567720508
2023-09-07,Saturday,Breakfast,436,27,None,5.7766273411887665
2023-09-08,Sunday,Breakfast,125,84,None,18.724942821523232
2023-09-09,Tuesday,Breakfast,391,48,None,20.218097238387138
2023-09-10,Wednesday,Breakfast,356,70,None,22.096515746907126
2023-09-11,Monday,Breakfast,107,80,None,17.96184637299212
2023-09-12,Friday,Lunch,212,83,None,28.56308160592249
2023-09-13,Monday,Breakfast,454,48,None,18.550092945085318
2023-09-14,Monday,Breakfast,352,19,None,3.9719424055748567
2023-09-15,Wednesday,Dinner,279,85,None,22.56066945186195
2023-09-16,Monday,Breakfast,306,91,None,13.536653797464892
2023-09-17,Tuesday,Dinner,402,62,Festival,10.692503868460072
2023-09-18,Tuesday,Lunch,226,60,None,22.34682849515959
2023-09-19,Thursday,Breakfast,155,48,None,8.283616275756039
2023-09-20,Saturday,Dinner,313,70,None,21.704574742677686
2023-09-21,Sunday,Dinner,113,0,None,0.0
2023-09-22,Friday,Lunch,127,95,None,13.561323077600266
2023-09-23,Monday,Breakfast,177,12,None,3.9230986542187374
2023-09-24,Monday,Breakfast,315,93,None,18.844135553690734
2023-09-25,Wednesday,Dinner,485,86,None,41.72468450817275
2023-09-26,Saturday,Breakfast,464,50,Festival,14.670912934398494
2023-09-27,Tuesday,Dinner,253,55,None,23.23183609505348
2023-09-28,Friday,Breakfast,113,82,None,26.24743058272539
2023-09-29,Thursday,Dinner,286,61,Holiday,7.159265801657588
2023-09-30,Tuesday,Breakfast,411,31,None,10.951077057365877
2023-10-01,Saturday,Lunch,470,29,Holiday,13.936278769597221
2023-10-02,Sunday,Breakfast,106,28,None,9.53805238563891
2023-10-03,Thursday,Breakfast,102,48,None,20.528426100994373
2023-10-04,Sunday,Lunch,210,44,None,19.962033754931976
2023-10-05,Wednesday,Breakfast,337,92,None,17.593335607720714
2023-10-06,Wednesday,Lunch,462,29,None,5.359720142935429
2023-10-07,Monday,Breakfast,338,15,None,5.16588593310595
2023-10-08,Sunday,Dinner,373,39,None,10.312044128984596
2023-10-09,Saturday,Dinner,393,18,None,7.847001380640386
2023-10-10,Friday,Breakfast,326,17,None,7.820157239106477
2023-10-11,Thursday,Breakfast,470,0,None,0.0
2023-10-12,Tuesday,Breakfast,114,77,Festival,14.995613216414048
2023-10-13,Saturday,Dinner,291,46,Festival,18.96166948048706
2023-10-14,Saturday,Breakfast,218,65,None,13.64495692425154
2023-10-15,Wednesday,Dinner,127,91,None,39.0431611938979
2023-10-16,Sunday,Lunch,301,93,None,25.063063035733983
2023-10-17,Monday,Dinner,138,37,None,13.579738509513763
2023-10-18,Monday,Dinner,372,50,None,6.910706276693364
2023-10-19,Thursday,Lunch,330,62,None,21.671711251979012
2023-10-20,Wednesday,Dinner,185,3,None,0.842121214484675
2023-10-21,Saturday,Breakfast,225,0,None,0.0
2023-10-22,Friday,Breakfast,399,7,None,1.1704397816856176
2023-10-23,Wednesday,Dinner,124,28,None,11.052985943374841
2023-10-24,Thursday,Breakfast,244,54,None,24.03641687493374
2023-10-25,Thursday,Dinner,112,2,Festival,0.37339184007262055
2023-10-26,Wednesday,Breakfast,311,31,None,4.286860488450006
2023-10-27,Thursday,Breakfast,124,9,None,0.985098909766811
2023-10-28,Wednesday,Dinner,167,73,None,26.045567812943368
2023-10-29,Tuesday,Breakfast,493,82,None,28.112684383712008
2023-10-30,Wednesday,Dinner,166,33,None,10.516405847825723
2023-10-31,Sunday,Breakfast,332,96,None,18.506768490853457
2023-11-01,Wednesday,Breakfast,208,86,None,22.047166259149705
2023-11-02,Thursday,Lunch,245,54,None,18.24068884002134
2023-11-03,Sunday,Lunch,210,91,None,27.182313662473767
2023-11-04,Thursday,Dinner,327,31,None,15.348540450664604
2023-11-05,Monday,Lunch,210,49,Festival,7.574219150111969
2023-11-06,Monday,Dinner,133,6,None,2.2683469297142254
2023-11-07,Sunday,Lunch,210,92,None,24.078930666237955
2023-11-08,Tuesday,Breakfast,363,7,Holiday,1.8989589217917213
2023-11-09,Monday,Dinner,468,64,None,24.770502800849314
2023-11-10,Wednesday,Dinner,335,56,None,21.110569789665885
2023-11-11,Thursday,Breakfast,182,66,None,32.76915823373777
2023-11-12,Monday,Dinner,141,87,None,13.16812127300356
2023-11-13,Monday,Dinner,200,86,Festival,12.181371938815325
2023-11-14,Tuesday,Lunch,105,58,None,22.604660557386797
2023-11-15,Sunday,Dinner,279,71,None,23.52618844298202
2023-11-16,Sunday,Breakfast,381,53,None,11.112206131067884
2023-11-17,Saturday,Lunch,419,66,None,8.696671341309246
2023-11-18,Tuesday,Lunch,325,50,None,6.713164991928611
2023-11-19,Wednesday,Breakfast,414,96,None,43.93692958710214
2023-11-20,Sunday,Breakfast,464,91,None,16.083970619762244
2023-11-21,Thursday,Lunch,328,7,None,1.6054403739234582
2023-11-22,Tuesday,Dinner,476,33,None,6.291864509396242
2023-11-23,Monday,Lunch,388,34,Festival,8.227949759314347
2023-11-24,Thursday,Breakfast,249,95,None,12.138106024351549
2023-11-25,Thursday,Lunch,376,87,None,26.76328072360781
2023-11-26,Monday,Breakfast,297,77,None,9.78246695864022
2023-11-27,Tuesday,Lunch,169,31,None,13.024420696997286
2023-11-28,Monday,Dinner,211,45,None,8.706817474387796
2023-11-29,Saturday,Lunch,103,15,None,4.7400714876270635
2023-11-30,Thursday,Lunch,449,67,None,30.286119546647083
2023-12-01,Friday,Breakfast,430,36,None,12.972634114279595
2023-12-02,Friday,Breakfast,417,53,None,16.59870507488831
2023-12-03,Wednesday,Breakfast,449,84,Holiday,19.297614104676622
2023-12-04,Sunday,Lunch,194,13,None,3.0316099479026293
2023-12-05,Monday,Dinner,251,94,None,34.57270951545195
2023-12-06,Monday,Breakfast,410,54,None,26.873410202377222
2023-12-07,Wednesday,Breakfast,236,47,None,17.14257676916832
2023-12-08,Wednesday,Lunch,346,81,None,26.172182722788808
2023-12-09,Wednesday,Breakfast,486,6,None,2.3535612245741913
2023-12-10,Thursday,Dinner,342,73,None,20.88400387868457
2023-12-11,Saturday,Dinner,130,6,None,0.7443416222418846
2023-12-12,Monday,Breakfast,139,32,None,10.397399243237246
2023-12-13,Thursday,Breakfast,328,22,None,10.627102503647347
2023-12-14,Wednesday,Lunch,135,84,None,14.290178863217365
2023-12-15,Monday,Dinner,322,18,None,6.768035213908793
2023-12-16,Thursday,Dinner,105,18,None,3.2467225583452066
2023-12-17,Saturday,Breakfast,421,35,None,11.001587582623138
2023-12-18,Thursday,Lunch,319,28,None,3.8827762360432603
2023-12-19,Saturday,Dinner,174,59,None,16.52875409569317
2023-12-20,Wednesday,Dinner,103,81,None,32.59969185620598
2023-12-21,Saturday,Lunch,434,1,None,0.23902860969559284
2023-12-22,Monday,Lunch,233,0,None,0.0
2023-12-23,Wednesday,Dinner,217,46,None,19.236279278531015
2023-12-24,Monday,Dinner,468,68,None,32.019236689841115
2023-12-25,Friday,Lunch,193,19,None,3.683279822101447
2023-12-26,Tuesday,Dinner,161,10,None,2.5972636632372326
2023-12-27,Saturday,Breakfast,293,1,None,0.160966405332167
2023-12-28,Tuesday,Breakfast,434,66,None,32.801564456981104
2023-12-29,Tuesday,Lunch,302,86,None,40.488833296595764
2023-12-30,Saturday,Lunch,491,11,None,3.4758113732344627
2023-12-31,Wednesday,Lunch,125,19,None,8.299453037260802
